iter	Logloss
237	0.3837159668
238	0.3836735107
239	0.3836082336
240	0.3835388672
241	0.3834547058
242	0.3834206116
243	0.3833383057
244	0.3833047729
245	0.3832752625
246	0.3832319641
247	0.3831604797
248	0.3831039124
249	0.3830684326
250	0.3830432739
251	0.383008667
252	0.3829800781
253	0.3829389343
254	0.382917395
255	0.3828891296
256	0.3828567566
257	0.3827994629
258	0.3827202881
259	0.3826838196
260	0.3826517029
261	0.3826228699
262	0.3825741516
263	0.3825439758
264	0.38250896
265	0.3824191895
266	0.3823918823
267	0.3823705261
268	0.3823157837
269	0.3822793213
270	0.3822499146
271	0.3821876099
272	0.3820893372
273	0.382062262
274	0.3820077271
275	0.381980542
276	0.3819568726
277	0.3819346191
278	0.3818979553
279	0.3818617432
280	0.3817894592
281	0.3817657043
282	0.3817325134
283	0.3816367126
284	0.3816187378
285	0.3815743713
286	0.3815446106
287	0.3814741882
288	0.3814445984
289	0.381412854
290	0.3813200073
291	0.3812888
292	0.3812151306
293	0.381203363
294	0.3811515686
295	0.3811026611
296	0.3810395508
297	0.3809960388
298	0.3809752197
299	0.3809505981
300	0.3809160461
301	0.3808718384
302	0.3808448792
303	0.380788623
304	0.3807699036
305	0.3807404236
306	0.3807108398
307	0.380684082
308	0.3806519714
309	0.3806220032
310	0.3805869385
311	0.3805504822
312	0.3805170349
313	0.3804955017
314	0.3804419006
315	0.380409552
316	0.3803704956
317	0.3803347534
318	0.3803085022
319	0.3802903625
320	0.38026026
321	0.3802142456
322	0.3801825439
323	0.380167749
324	0.3801440369
325	0.3801263
326	0.380103717
327	0.3800584167
328	0.3800335205
329	0.3799985291
330	0.3799683655
331	0.379936792
332	0.3799155945
333	0.3798718994
334	0.379850647
335	0.3798041077
336	0.3797853149
337	0.3797449768
338	0.379735022
339	0.3797074585
340	0.3796755676
341	0.3796401245
342	0.3796040466
343	0.379517041
344	0.3794801453
345	0.3794341431
346	0.3794034241
347	0.3793688599
348	0.3793426392
349	0.379316626
350	0.3792945435
351	0.379213916
352	0.3791526428
353	0.3791324646
354	0.3790570984
355	0.3790316467
356	0.3789141113
357	0.3788975708
358	0.3788499695
359	0.3788251953
360	0.3787670898
361	0.3787177429
362	0.3786693176
363	0.3785358887
364	0.3785195251
365	0.3784789612
366	0.3784164856
367	0.3783917358
368	0.3783610718
369	0.3783280579
370	0.3783092163
371	0.3782770264
372	0.378247644
373	0.3782184998
374	0.3781974915
375	0.3781594788
376	0.3781205933
377	0.3780910034
378	0.3780770569
379	0.3780264771
380	0.3779924255
381	0.3779580872
382	0.3779471619
383	0.3778784241
384	0.377842865
385	0.377814386
386	0.3777881409
387	0.3776702881
388	0.3776331604
389	0.3776127686
390	0.377588739
391	0.3775079285
392	0.3774784302
393	0.3774408142
394	0.3774199158
395	0.3773995422
396	0.3773328857
397	0.3772999268
398	0.3772693604
399	0.3772490356
