iter	Logloss
0	0.6796300293
1	0.6673916138
2	0.6553940918
3	0.6437970581
4	0.6331095459
5	0.6230593384
6	0.6133093262
7	0.6038721802
8	0.594587561
9	0.5856279175
10	0.5772820923
11	0.5696504395
12	0.5620654663
13	0.5553229736
14	0.5484440918
15	0.5421513672
16	0.5358196289
17	0.5299321533
18	0.5239707397
19	0.51856521
20	0.5134750854
21	0.5086852905
22	0.504023938
23	0.4998479248
24	0.4955060303
25	0.4918006104
26	0.4881045532
27	0.484805603
28	0.4811109009
29	0.4774696289
30	0.4744067139
31	0.4715511353
32	0.4685335693
33	0.4657678223
34	0.4629639893
35	0.4602183105
36	0.4578890991
37	0.4554680908
38	0.4532920044
39	0.4512202271
40	0.4492344849
41	0.4471768799
42	0.4448436279
43	0.4430828003
44	0.4413128296
45	0.4394917847
46	0.4377695313
47	0.4362913452
48	0.4348455444
49	0.4333154053
50	0.4319322754
51	0.4307024414
52	0.4293797363
53	0.4281295898
54	0.4269759155
55	0.4255328369
56	0.4245046387
57	0.4235970703
58	0.4224633667
59	0.4214748413
60	0.4204009399
61	0.4195453125
62	0.418652002
63	0.4178956787
64	0.4170314453
65	0.4163265137
66	0.4155157959
67	0.4146387085
68	0.4140122437
69	0.4133140015
70	0.41267005
71	0.4120868774
72	0.4113124451
73	0.4108193665
74	0.4100460388
75	0.4095514404
76	0.4090564941
77	0.4084904297
78	0.40796297
79	0.4074862183
80	0.4071046692
81	0.4066354553
82	0.406143158
83	0.4056219604
84	0.4051977539
85	0.4048216553
86	0.4042139038
87	0.4038666931
88	0.4034304565
89	0.4030628967
90	0.4026823303
91	0.4023480042
92	0.4019906128
93	0.4017021606
94	0.4013859802
95	0.4011245728
96	0.4008521057
97	0.4005738953
98	0.4002614258
99	0.3998968872
100	0.3996935913
101	0.3994601501
102	0.3991756836
103	0.3988520386
104	0.3985778198
105	0.3980813721
106	0.3977746338
107	0.3975748352
108	0.397450177
109	0.3971923828
110	0.3969816467
111	0.3968008728
112	0.3964559448
113	0.3963025452
114	0.3961460876
115	0.3959989929
116	0.3958444336
117	0.3955558655
118	0.3952735352
119	0.395111969
120	0.3948582703
121	0.394591333
122	0.394460199
123	0.3942568787
124	0.3941021057
125	0.3939662659
126	0.3938001099
127	0.3936340393
128	0.3934535034
129	0.3932687622
130	0.3931651367
131	0.3930555481
132	0.3929256165
133	0.3928057922
134	0.3926592957
135	0.3925536011
136	0.3924135071
137	0.3922312927
138	0.3920561829
139	0.391851239
140	0.3917143799
141	0.391597644
142	0.3915173279
143	0.3913684875
144	0.3912579834
145	0.3910243958
146	0.3908940369
147	0.3907161499
148	0.3905704773
149	0.3904413208
150	0.3903312805
151	0.3901405701
152	0.3900506042
153	0.3899580383
154	0.3897720459
155	0.3895978821
156	0.3895099548
157	0.3893195679
158	0.3892483459
159	0.3891650208
160	0.3889060181
161	0.3888230835
162	0.3887378479
163	0.3886880798
164	0.3885841309
165	0.3884528931
166	0.3883728149
167	0.3883010193
168	0.3882321716
169	0.3880460815
170	0.3878992859
171	0.3878581116
172	0.3877593201
173	0.3876881653
174	0.3875462891
175	0.3874805786
176	0.3874040466
177	0.3873380554
178	0.3872942627
179	0.3872519043
180	0.3871757996
181	0.3870632874
182	0.3870142822
183	0.3869598816
184	0.3869160767
185	0.3868752869
186	0.3868460449
187	0.3867998108
188	0.3867300476
189	0.3866732666
190	0.3866242554
191	0.3865749268
192	0.3865335388
193	0.3864810974
194	0.3864028625
195	0.3863701538
196	0.3863132629
197	0.3861922852
198	0.386142749
199	0.3860976196
200	0.3859711487
201	0.3859162476
202	0.3858592773
203	0.3858155212
204	0.38566474
205	0.3856196411
206	0.3855559937
207	0.3854859009
208	0.3854400513
209	0.3853514709
210	0.3852920288
211	0.3852378174
212	0.38519422
213	0.3850635315
214	0.3850320862
215	0.3849960327
216	0.3849571838
217	0.3848486328
218	0.3848038025
219	0.3847657532
220	0.3847311218
221	0.3846790222
222	0.3846431885
223	0.3845500061
224	0.3844248657
225	0.384373877
226	0.3843297913
227	0.3842875732
228	0.3842541321
229	0.3841671631
230	0.3841000122
231	0.3840682007
232	0.3840359985
233	0.3839940491
234	0.3838699463
235	0.3838315552
236	0.3837532776
